dog_ID,dog_cdl_name,fam_phase_2_first_trial_type,fam_phase_3_first_trial_type,condition,breed,sex,castrated,FCI_group,birthdate,test_date,age_months,experience_in_dog_sport,hider,communicator,nr_fam_phase1_trials,nr_fam_phase2_trials,nr_fam_phase3_trials,fam_3_choice_first_relocation_trial,no_choice_trials,tot_nr_fam_trials,choice_letter,choice_colour,breed_recoded,breed_type,training,experimenter_dyad,first_baited_box,z.age,sex.c,condition.c,breed_type.c,first_baited_box.c,training.c
1,Ringo,no_displacement,displacement,control,romagna_water_dog,m,yes,8,15/11/2018,11/09/2024,69,no,VB,LL,2,2,2,B,no,6,A,grey,romagna_water_dog,cooperative,no,LL_VB,grey,0.25079557435628624,0.5416666666666667,-1,-0.125,0.5,-0.75
2,Lina4,displacement,displacement,false_belief,shetland_sheepdog,f,yes,1,10/09/2019,10/09/2024,60,"mantrailing, rally obedience",VB,LL,4,2,2,B,no,8,A,blue,shetland_sheepdog,cooperative,yes,LL_VB,blue,0.004447943337833219,-0.45833333333333326,0,-0.125,-0.5,0.25
3,Benny7,displacement,displacement,false_belief,border_collie,m,no,1,28/06/2013,07/10/2024,135,"dog_dance, shepherd_training",VB,LL,4,2,2,B,no,8,A,blue,border_collie,cooperative,yes,LL_VB,blue,2.0573448684916085,0.5416666666666667,0,-0.125,-0.5,0.25
4,EltonJohn,displacement,no_displacement,false_belief,border_collie,m,no,1,24/03/2022,07/10/2024,30,"dog_dance, shepherd_training",VB,LL,2,2,2,B,no,6,B,blue,border_collie,cooperative,yes,LL_VB,grey,-0.8167108267236769,0.5416666666666667,0,-0.125,0.5,0.25
5,Bucky,displacement,no_displacement,knowledge,appenzell_cattle_dog,m,yes_chip,2,12/02/2022,17/09/2024,31,no,VB,LL,2,3,2,B,2_in_fam_phase_2,7,B,blue,appenzell_cattle_dog,cooperative,no,LL_VB,grey,-0.7893388677216265,0.5416666666666667,1,-0.125,0.5,-0.75
6,Bailey6,displacement,displacement,false_belief,labrador_retriever,f,yes,8,01/08/2017,18/10/2024,86,"mantrailing, dummy",VB,CH,2,2,2,B,no,6,A,blue,labrador_retriever,cooperative,yes,CH_VB,blue,0.716118877391142,-0.45833333333333326,0,-0.125,-0.5,0.25
7,Terence,no_displacement,displacement,false_belief,welsh_corgi_pembroke,m,yes,1,28/03/2019,19/10/2024,66,"lure_training, agility, shepherd_training",GR,VB,2,2,2,B,no,6,B,blue,welsh_corgi,cooperative,yes,VB_GR,grey,0.16867969735013524,0.5416666666666667,0,-0.125,0.5,0.25
8,Woody2,no_displacement,displacement,false_belief,irish_setter,m,no,7,26/04/2019,22/10/2024,65,"mantrailing, obedience, breed_exhibitions, hunting",VB,LL,2,2,2,B,no,6,A,grey,irish_setter,cooperative,yes,LL_VB,grey,0.1413077383480849,0.5416666666666667,0,-0.125,0.5,0.25
9,Ellie,displacement,no_displacement,control,welsh_corgi,f,yes,1,09/09/2020,17/10/2024,49,no,GR,VB,2,3,2,B,no,7,A,grey,welsh_corgi,cooperative,no,VB_GR,grey,-0.2966436056847205,-0.45833333333333326,-1,-0.125,0.5,-0.75
10,Kosmo,no_displacement,displacement,control,welsh_corgi,m,no,1,08/02/2022,17/10/2024,32,no,GR,VB,4,2,3,A,no,9,A,blue,welsh_corgi,cooperative,no,VB_GR,blue,-0.7619669087195763,0.5416666666666667,-1,-0.125,-0.5,-0.75
11,Mabel,no_displacement,no_displacement,false_belief,border_collie,f,no,1,28/01/2022,22/10/2024,32,"obedience, BGH",GR,VB,4,2,2,B,no,8,B,blue,border_collie,cooperative,yes,VB_GR,grey,-0.7619669087195763,-0.45833333333333326,0,-0.125,0.5,0.25
12,Zita2,displacement,no_displacement,control,belgian_shepherd,f,no,1,09/06/2015,18/10/2024,112,"IPO, FH3, ÖPO3",GR,CH,2,3,2,B,no,7,B,blue,belgian_shepherd,cooperative,yes,CH_GR,grey,1.4277898114444507,-0.45833333333333326,-1,-0.125,0.5,0.25
13,Quattro,no_displacement,displacement,control,border_collie,m,no,1,14/01/2024,18/10/2024,9,"obedience, rescue dog",VB,CH,2,2,2,B,no,6,B,blue,border_collie,cooperative,yes,CH_VB,grey,-1.391521965766734,0.5416666666666667,-1,-0.125,0.5,0.25
14,Massimo,displacement,no_displacement,control,hovawart,m,no,2,10/05/2022,19/10/2024,29,no,GR,VB,4,2,4,A,no,10,B,grey,hovawart,cooperative,no,VB_GR,blue,-0.8440827857257273,0.5416666666666667,-1,-0.125,-0.5,-0.75
15,Ella4,no_displacement,no_displacement,control,golden_retriever,f,no,8,11/10/2022,21/10/2024,24,no,GR,CH,2,2,2,B,no,6,B,grey,golden_retriever,cooperative,no,CH_GR,blue,-0.980942580735979,-0.45833333333333326,-1,-0.125,-0.5,-0.75
16,Paddy,no_displacement,no_displacement,control,irish_setter,m,no,7,18/03/2017,22/10/2024,91,"mantrailing, obedience, breed_exhibitions, hunting",VB,LL,2,2,2,B,no,6,A,blue,irish_setter,cooperative,yes,LL_VB,blue,0.8529786724013937,0.5416666666666667,-1,-0.125,-0.5,0.25
17,Allegro2,no_displacement,displacement,knowledge,border_collie,m,no,1,17/05/2013,12/10/2024,136,"agility, BH, BGH1, AG1, AG2,AG3",VB,CH,2,2,2,B,no,6,A,blue,border_collie,cooperative,yes,CH_VB,blue,2.0847168274936587,0.5416666666666667,1,-0.125,-0.5,0.25
18,Saphira4,no_displacement,no_displacement,control,german_shepherd,f,yes,1,11/09/2021,23/10/2024,37,"therapiebegleithund, id_tracking, agility",GR,CH,2,2,2,B,no,6,B,grey,german_shepherd,cooperative,yes,CH_GR,blue,-0.6251071137093246,-0.45833333333333326,-1,-0.125,-0.5,0.25
19,Loomis,displacement,no_displacement,control,golden_retriever,m,no,8,24/09/2020,25/10/2024,49,"mantrailing, cognitive_tasks",GR,VB,4,2,2,B,no,8,B,grey,golden_retriever,cooperative,yes,VB_GR,blue,-0.2966436056847205,0.5416666666666667,-1,-0.125,-0.5,0.25
20,Destino,no_displacement,no_displacement,knowledge,border_collie,m,no,1,21/01/2020,12/10/2024,56,agility,VB,CH,2,2,2,B,no,6,A,grey,border_collie,cooperative,yes,CH_VB,grey,-0.10503989267036813,0.5416666666666667,1,-0.125,0.5,0.25
21,Jaguar,no_displacement,no_displacement,knowledge,dutch_shepherd,m,yes,1,08/12/2014,18/10/2024,118,no,GR,VB,3,2,2,B,no,7,B,blue,dutch_shepherd,cooperative,no,VB_GR,grey,1.5920215654567529,0.5416666666666667,1,-0.125,0.5,-0.75
22,Ivy-Infinity,displacement,displacement,false_belief,labrador_retriever,f,yes,8,14/05/2020,20/10/2024,53,mantrailing,GR,VB,2,2,2,B,no,6,A,blue,labrador_retriever,cooperative,yes,VB_GR,blue,-0.18715576967651915,-0.45833333333333326,0,-0.125,-0.5,0.25
23,Fortuna,no_displacement,no_displacement,false_belief,labrador_retriever,f,yes,8,05/05/2017,24/10/2024,89,diabetes_alert_dog,GR,CH,2,3,2,B,no,7,B,grey,labrador_retriever,cooperative,yes,CH_GR,blue,0.798234754397293,-0.45833333333333326,0,-0.125,-0.5,0.25
24,Savvy,displacement,displacement,control,labrador_retriever,f,yes,8,04/04/2015,27/10/2024,114,no,GR,VB,2,2,2,B,no,6,B,grey,labrador_retriever,cooperative,no,VB_GR,blue,1.4825337294485514,-0.45833333333333326,-1,-0.125,-0.5,-0.75
25,Daisy5,no_displacement,no_displacement,knowledge,golden_retriever,f,no,8,15/05/2020,19/10/2024,53,no,GR,VB,3,2,2,B,no,7,B,grey,golden_retriever,cooperative,no,VB_GR,blue,-0.18715576967651915,-0.45833333333333326,1,-0.125,-0.5,-0.75
26,Loki5,no_displacement,displacement,control,golden_retriever,f,yes,8,26/06/2019,28/10/2024,64,obedience,GR,VB,2,2,2,B,no,6,B,grey,golden_retriever,cooperative,yes,VB_GR,blue,0.11393577934603458,-0.45833333333333326,-1,-0.125,-0.5,0.25
27,Thor3,no_displacement,no_displacement,knowledge,welsh_corgi_pembroke,m,yes,1,30/10/2021,19/10/2024,35,tricktraining,GR,VB,4,2,2,B,no,8,A,blue,welsh_corgi,cooperative,yes,VB_GR,blue,-0.6798510317134252,0.5416666666666667,1,-0.125,-0.5,0.25
28,June3,displacement,no_displacement,control,australian_shepherd,f,yes,1,10/01/2021,28/10/2024,45,mantrailing,GR,VB,2,2,2,B,no,6,A,blue,australian_shepherd,cooperative,yes,VB_GR,blue,-0.40613144169292187,-0.45833333333333326,-1,-0.125,-0.5,0.25
29,Frida3,no_displacement,no_displacement,knowledge,australian_shepherd,f,no,1,07/03/2021,22/10/2024,43,"agility, obedience",GR,VB,2,4,2,B,no,8,B,grey,australian_shepherd,cooperative,yes,VB_GR,blue,-0.46087535969702254,-0.45833333333333326,1,-0.125,-0.5,0.25
30,Emma12,no_displacement,no_displacement,false_belief,labrador_retriever,f,no,8,08/10/2018,26/10/2024,72,"agility, mantrailing, tricks, therapy assistance",VB,CH,2,2,2,B,no,6,A,blue,labrador_retriever,cooperative,yes,CH_VB,blue,0.33291145136243727,-0.45833333333333326,0,-0.125,-0.5,0.25
31,Willi2,displacement,displacement,false_belief,labrador_retriever,m,yes,8,01/10/2022,28/10/2024,24,no,GR,VB,2,2,2,B,no,6,A,grey,labrador_retriever,cooperative,no,VB_GR,grey,-0.980942580735979,0.5416666666666667,0,-0.125,0.5,-0.75
32,Bonja,displacement,displacement,knowledge,schnauzer,f,no,2,12/03/2016,24/10/2024,103,hunting,GR,CH,2,2,2,B,no,6,B,blue,schnauzer,cooperative,yes,CH_GR,grey,1.1814421804259978,-0.45833333333333326,1,-0.125,0.5,0.25
33,Trixi2,no_displacement,displacement,false_belief,schnauzer,f,yes,2,28/02/2014,28/10/2024,128,no,GR,VB,2,2,2,B,no,6,A,blue,schnauzer,cooperative,no,VB_GR,blue,1.865741155477256,-0.45833333333333326,0,-0.125,-0.5,-0.75
34,Cacho,no_displacement,displacement,control,flat_coated_retriever,m,yes,8,25/05/2018,31/10/2024,77,"mantrailing, hoopers, obedience, fMRI",LL,GR,2,3,2,B,no,7,B,blue,flat_coated_retriever,cooperative,yes,GR_LL,grey,0.46977124637268897,0.5416666666666667,-1,-0.125,0.5,0.25
35,Ivy6,displacement,displacement,knowledge,australian_shepherd,f,yes,1,01/06/2021,26/10/2024,40,"agility, therapiebegleithund",VB,CH,4,2,2,B,no,8,A,blue,australian_shepherd,cooperative,yes,CH_VB,blue,-0.5429912367031735,-0.45833333333333326,1,-0.125,-0.5,0.25
36,Dali,no_displacement,displacement,control,border_collie,m,no,1,31/10/2019,01/11/2024,60,"rally, dog_dancing, hunting",CH,VB,2,2,2,B,no,6,A,grey,border_collie,cooperative,yes,VB_CH,grey,0.004447943337833219,0.5416666666666667,-1,-0.125,0.5,0.25
37,Heidi6,displacement,displacement,knowledge,labrador_retriever,f,yes,8,21/10/2022,27/10/2024,24,"therapiebegleithund_in_ausbildung, dummytraining",GR,VB,2,2,2,B,no,6,A,blue,labrador_retriever,cooperative,yes,VB_GR,blue,-0.980942580735979,-0.45833333333333326,1,-0.125,-0.5,0.25
38,Remus,no_displacement,displacement,false_belief,weimaraner,m,no,7,13/01/2024,28/10/2024,9,bgh,GR,VB,4,2,2,B,no,8,B,blue,weimaraner,cooperative,yes,VB_GR,grey,-1.391521965766734,0.5416666666666667,0,-0.125,0.5,0.25
39,Lotte6,displacement,displacement,control,portuguese_water_dog,f,no,8,29/01/2022,01/11/2024,33,therapiebegleithund,VB,CH,2,2,2,B,no,6,A,blue,portuguese_water_dog,cooperative,yes,CH_VB,blue,-0.7345949497175259,-0.45833333333333326,-1,-0.125,-0.5,0.25
40,Balou3,no_displacement,no_displacement,knowledge,brittany_spaniel,m,yes,7,03/02/2016,28/10/2024,104,no,CH,GR,2,2,2,B,no,6,B,grey,brittany_spaniel,cooperative,no,GR_CH,blue,1.208814139428048,0.5416666666666667,1,-0.125,-0.5,-0.75
41,Questa,no_displacement,no_displacement,control,deutsch_langhaar,f,no,7,04/04/2022,01/11/2024,30,hunting,CH,VB,2,2,2,B,no,6,B,blue,german_longhaired_pointer,cooperative,yes,VB_CH,grey,-0.8167108267236769,-0.45833333333333326,-1,-0.125,0.5,0.25
42,Scully3,displacement,displacement,knowledge,golden_retriever,f,no,8,27/03/2023,28/10/2024,19,obedience,GR,VB,3,2,2,B,no,7,B,grey,golden_retriever,cooperative,yes,VB_GR,blue,-1.1178023757462305,-0.45833333333333326,1,-0.125,-0.5,0.25
43,Flynn3,no_displacement,no_displacement,false_belief,shetland_sheepdog,m,no,1,26/04/2024,30/10/2024,6,no,CH,VB,2,2,2,B,no,6,A,blue,shetland_sheepdog,cooperative,no,VB_CH,blue,-1.4736378427728851,0.5416666666666667,0,-0.125,-0.5,-0.75
44,Lotta,no_displacement,displacement,knowledge,romagna_water_dog,f,yes,8,05/10/2018,29/10/2024,72,no,GR,VB,2,2,2,B,no,6,B,blue,romagna_water_dog,cooperative,no,VB_GR,grey,0.33291145136243727,-0.45833333333333326,1,-0.125,0.5,-0.75
45,Chomsky,displacement,no_displacement,false_belief,rottweiler,m,yes,2,17/12/2015,16/10/2024,105,no,VB,CH,2,2,2,B,no,6,A,grey,rottweiler,cooperative,no,CH_VB,grey,1.2361860984300985,0.5416666666666667,0,-0.125,0.5,-0.75
46,Jaimie,no_displacement,no_displacement,knowledge,border_collie,m,no,1,06/06/2019,30/10/2024,64,"agility, obedience",VB,CH,2,2,2,B,no,6,A,grey,border_collie,cooperative,yes,CH_VB,grey,0.11393577934603458,0.5416666666666667,1,-0.125,0.5,0.25
47,Finley,displacement,no_displacement,control,shetland_sheepdog,m,no,1,17/07/2017,04/11/2024,87,"obedience, dummy_training, mantrailing, rally",LL,GR,4,2,2,B,no,8,B,grey,shetland_sheepdog,cooperative,yes,GR_LL,blue,0.7434908363931924,0.5416666666666667,-1,-0.125,-0.5,0.25
48,Ben2,displacement,displacement,control,english_springer_spaniel,m,yes,8,07/04/2012,05/11/2024,150,"agility, tricks",CH,VB,2,2,2,B,no,6,B,grey,english_springer_spaniel,cooperative,yes,VB_CH,blue,2.4679242535223636,0.5416666666666667,-1,-0.125,-0.5,0.25
49,Zazou3,displacement,no_displacement,knowledge,labrador_retriever,f,yes,8,23/06/2019,07/10/2024,63,"therapy dog, search_training",VB,LL,2,3,3,B,no,8,A,grey,labrador_retriever,cooperative,yes,LL_VB,grey,0.08656382034398423,-0.45833333333333326,1,-0.125,0.5,0.25
50,Pinu'u,displacement,displacement,knowledge,shetland_sheepdog,m,no,1,29/08/2023,04/11/2024,14,"obedience, mantrailing",LL,GR,2,2,2,B,no,6,B,blue,shetland_sheepdog,cooperative,yes,GR_LL,grey,-1.2546621707564822,0.5416666666666667,1,-0.125,0.5,0.25
51,Heidi7,displacement,displacement,false_belief,portuguese_water_dog,f,yes,8,08/10/2018,31/10/2024,72,assistance_dog_training,LL,GR,2,2,2,B,no,6,B,grey,portuguese_water_dog,cooperative,yes,GR_LL,blue,0.33291145136243727,-0.45833333333333326,0,-0.125,-0.5,0.25
52,Arko2,no_displacement,displacement,knowledge,labrador_retriever,m,yes,8,17/04/2014,31/10/2024,126,no,CH,LL,2,2,2,B,no,6,B,grey,labrador_retriever,cooperative,no,LL_CH,blue,1.8109972374731553,0.5416666666666667,1,-0.125,-0.5,-0.75
53,Bud,displacement,displacement,false_belief,welsh_corgi_pembroke,m,yes,1,28/03/2024,03/11/2024,7,no,VB,GR,2,2,2,B,no,6,B,blue,welsh_corgi,cooperative,no,GR_VB,grey,-1.4462658837708346,0.5416666666666667,0,-0.125,0.5,-0.75
54,Buddy9,no_displacement,displacement,knowledge,german_short_haired_pointer,m,yes,7,01/06/2018,04/11/2024,77,therapiebegleithund,LL,GR,2,2,4,A,no,8,B,blue,german_short_haired_pointer,cooperative,yes,GR_LL,grey,0.46977124637268897,0.5416666666666667,1,-0.125,0.5,0.25
55,Leia3,displacement,displacement,false_belief,welsh_corgi_pembroke,f,yes,1,29/06/2021,03/11/2024,40,no,VB,GR,2,2,2,B,no,6,A,grey,welsh_corgi,cooperative,no,GR_VB,grey,-0.5429912367031735,-0.45833333333333326,0,-0.125,0.5,-0.75
56,Adele,no_displacement,displacement,false_belief,romagna_water_dog,f,no,8,06/06/2020,04/11/2024,52,therapiebegleithund,LL,GR,2,2,2,B,no,6,B,grey,romagna_water_dog,cooperative,yes,GR_LL,blue,-0.21452772867856948,-0.45833333333333326,0,-0.125,-0.5,0.25
57,Curly2,displacement,no_displacement,false_belief,border_collie,m,no,1,13/07/2021,05/11/2024,39,"therapiebegleithund, obedience, dummytraining",CH,VB,2,2,2,B,no,6,A,blue,border_collie,cooperative,yes,VB_CH,blue,-0.5703631957052239,0.5416666666666667,0,-0.125,-0.5,0.25
58,Arany,no_displacement,displacement,knowledge,welsh_corgi_cardigan ,f,no,1,20/04/2021,08/11/2024,42,"IBGH2, rally, obedience, hoopers",VB,CH,4,2,2,B,no,8,B,grey,welsh_corgi,cooperative,yes,CH_VB,blue,-0.48824731869907284,-0.45833333333333326,1,-0.125,-0.5,0.25
59,Phil,displacement,displacement,control,australian_shepherd,m,no,1,24/11/2022,09/11/2024,23,"rally, obedience, therapiehund_in_ausbildung, agility",VB,CH,2,2,2,B,no,6,B,blue,australian_shepherd,cooperative,yes,CH_VB,grey,-1.0083145397380293,0.5416666666666667,-1,-0.125,0.5,0.25
60,Noomi2,no_displacement,displacement,false_belief,portuguese_water_dog,f,no,8,10/11/2021,09/11/2024,35,"hoopers, agility",VB,GR,2,2,2,B,no,6,B,grey,portuguese_water_dog,cooperative,yes,GR_VB,blue,-0.6798510317134252,-0.45833333333333326,0,-0.125,-0.5,0.25
61,Gundi,displacement,no_displacement,control,labrador_retriever,f,no,8,21/06/2022,09/11/2024,28,dummy_training,VB,GR,2,2,2,B,no,6,A,grey,labrador_retriever,cooperative,yes,GR_VB,grey,-0.8714547447277776,-0.45833333333333326,-1,-0.125,0.5,0.25
62,Edhard,no_displacement,no_displacement,control,danish_swedish_farmdog,m,no,2,01/03/2023,10/11/2024,20,no,VB,GR,2,2,2,B,no,6,A,blue,danish_swedish_farmdog,cooperative,no,GR_VB,blue,-1.0904304167441803,0.5416666666666667,-1,-0.125,-0.5,-0.75
63,Garou,displacement,displacement,control,german_shepherd,m,no,1,09/03/2024,10/11/2024,8,"mantrailing, obedience",VB,GR,5,2,2,B,no,9,B,blue,german_shepherd,cooperative,yes,GR_VB,grey,-1.4188939247687844,0.5416666666666667,-1,-0.125,0.5,0.25
64,Abby5,displacement,displacement,control,kleiner_muensterlaender,f,no,7,19/08/2021,10/11/2024,38,"dummy, hunting",VB,GR,2,2,2,B,no,6,A,blue,kleiner_muensterlaender,cooperative,yes,GR_VB,blue,-0.5977351547072742,-0.45833333333333326,-1,-0.125,-0.5,0.25
65,Kirsi,displacement,no_displacement,knowledge,portuguese_water_dog,f,no,8,04/06/2023,09/11/2024,17,"hoopers, agility",VB,GR,2,2,2,B,no,6,A,blue,portuguese_water_dog,cooperative,yes,GR_VB,blue,-1.1725462937503313,-0.45833333333333326,1,-0.125,-0.5,0.25
66,Patack,no_displacement,displacement,knowledge,portuguese_water_dog,m,no,8,26/04/2024,09/11/2024,6,no,VB,GR,2,4,2,B,no,9,A,blue,portuguese_water_dog,cooperative,no,GR_VB,blue,-1.4736378427728851,0.5416666666666667,1,-0.125,-0.5,-0.75
67,Dora,no_displacement,displacement,knowledge,labrador_retriever,f,no,8,11/05/2015,09/11/2024,113,dummy_training,VB,GR,2,2,2,B,no,6,B,blue,labrador_retriever,cooperative,yes,GR_VB,grey,1.4551617704465012,-0.45833333333333326,1,-0.125,0.5,0.25
68,Bo,no_displacement,displacement,false_belief,border_collie,m,no,1,08/11/2020,09/11/2024,48,"obedience, agility",VB,GR,2,2,2,B,no,6,B,blue,border_collie,cooperative,yes,GR_VB,grey,-0.32401556468677084,0.5416666666666667,0,-0.125,0.5,0.25
69,Moon2,displacement,no_displacement,control,australian_shepherd,f,no,1,31/10/2021,12/11/2024,36,hoopers,LL,VB,3,2,2,B,no,7,B,grey,australian_shepherd,cooperative,yes,VB_LL,grey,-0.6524790727113748,-0.45833333333333326,-1,-0.125,0.5,0.25
70,Leia5,displacement,no_displacement,control,labrador_retriever,f,no,8,17/07/2017,13/11/2024,87,mantrailing,GR,LL,2,2,2,B,no,6,B,blue,labrador_retriever,cooperative,yes,LL_GR,grey,0.7434908363931924,-0.45833333333333326,-1,-0.125,0.5,0.25
71,Gustl2,no_displacement,no_displacement,knowledge,laekenois,m,no,1,07/11/2020,10/11/2024,48,"protection_training, ibgh2, rally_obedience",VB,GR,2,2,2,B,no,6,A,grey,belgian_shepherd,cooperative,yes,GR_VB,grey,-0.32401556468677084,0.5416666666666667,1,-0.125,0.5,0.25
72,Kira17,displacement,no_displacement,knowledge,mudi,f,yes,1,30/04/2019,11/11/2024,66,"rally_obedience, trickdog",LL,GR,2,2,2,B,no,6,B,blue,mudi,cooperative,yes,GR_LL,grey,0.16867969735013524,-0.45833333333333326,1,-0.125,0.5,0.25
73,Thorin,displacement,no_displacement,false_belief,flat_coated_retriever,m,yes,8,19/02/2020,10/11/2024,56,obedience,VB,GR,4,2,2,B,no,8,B,blue,flat_coated_retriever,cooperative,yes,GR_VB,grey,-0.10503989267036813,0.5416666666666667,0,-0.125,0.5,0.25
74,Kunibert,displacement,no_displacement,knowledge,giant_schnauzer,m,no,2,20/07/2023,12/11/2024,15,"mantrailing, obedience, protection_training",VB,GR,2,2,2,B,no,6,B,grey,schnauzer,cooperative,yes,GR_VB,blue,-1.227290211754432,0.5416666666666667,1,-0.125,-0.5,0.25
75,Lilly16,displacement,displacement,control,bernese_mountain_dog,f,no,2,19/01/2024,15/11/2024,9,no,CH,GR,2,2,2,B,no,6,A,blue,bernese_mountain_dog,cooperative,no,GR_CH,blue,-1.391521965766734,-0.45833333333333326,-1,-0.125,-0.5,-0.75
76,Rio,displacement,displacement,knowledge,hungarian_shorthaired_pointer,f,no,7,27/03/2021,15/11/2024,43,jagdhundeprüfung,CH,GR,2,2,2,B,no,6,A,grey,hungarian_shorthaired_pointer,cooperative,yes,GR_CH,grey,-0.46087535969702254,-0.45833333333333326,1,-0.125,0.5,0.25
77,Grady,displacement,displacement,control,border_collie,m,no,1,11/03/2019,15/11/2024,68,"agility, rally, obedience",CH,VB,2,3,2,B,no,7,A,grey,border_collie,cooperative,yes,VB_CH,grey,0.2234236153542359,0.5416666666666667,-1,-0.125,0.5,0.25
78,Cookie11,displacement,no_displacement,false_belief,kleiner_muensterlaender,f,yes,7,24/04/2018,10/11/2024,78,"dummy, hunting",VB,GR,2,2,2,B,no,6,B,blue,kleiner_muensterlaender,cooperative,yes,GR_VB,grey,0.49714320537473927,-0.45833333333333326,0,-0.125,0.5,0.25
